,month,year,vazao,data_ticks
19,1,1966,230.477,1966-1
20,2,1966,487.809,1966-2
21,3,1966,302.639,1966-3
22,4,1966,236.85,1966-4
23,5,1966,179.17700000000002,1966-5
24,6,1966,157.569,1966-6
25,7,1966,142.69299999999998,1966-7
26,8,1966,133.49200000000002,1966-8
27,9,1966,140.465,1966-9
28,10,1966,166.483,1966-10
626,10,1966,191.801,1966-10
29,11,1966,191.801,1966-11
30,12,1966,267.001,1966-12
31,1,1967,223.08900000000003,1967-1
32,2,1967,351.848,1967-2
33,3,1967,339.108,1967-3
34,4,1967,434.699,1967-4
35,5,1967,211.278,1967-5
36,6,1967,161.11700000000002,1967-6
37,7,1967,144.291,1967-7
38,8,1967,144.596,1967-8
39,9,1967,147.714,1967-9
40,10,1967,146.447,1967-10
627,10,1967,287.905,1967-10
41,11,1967,287.905,1967-11
42,12,1967,296.42900000000003,1967-12
43,1,1968,338.01199999999994,1968-1
44,2,1968,346.918,1968-2
45,3,1968,404.559,1968-3
46,4,1968,238.56900000000002,1968-4
47,5,1968,199.468,1968-5
48,6,1968,170.03900000000002,1968-6
49,7,1968,160.00799999999998,1968-7
50,8,1968,149.958,1968-8
51,9,1968,138.579,1968-9
52,10,1968,157.59799999999998,1968-10
53,11,1968,253.44799999999998,1968-11
54,12,1968,271.811,1968-12
55,1,1969,274.897,1969-1
56,2,1969,302.603,1969-2
57,3,1969,359.44300000000004,1969-3
58,4,1969,202.537,1969-4
59,5,1969,198.42700000000002,1969-5
60,6,1969,162.855,1969-6
61,7,1969,149.201,1969-7
62,8,1969,138.202,1969-8
63,9,1969,134.602,1969-9
64,10,1969,149.981,1969-10
65,11,1969,187.92700000000002,1969-11
66,12,1969,294.634,1969-12
67,1,1970,378.88800000000003,1970-1
68,2,1970,275.23900000000003,1970-2
69,3,1970,264.065,1970-3
70,4,1970,227.80700000000002,1970-4
71,5,1970,180.285,1970-5
72,6,1970,155.207,1970-6
73,7,1970,144.873,1970-7
74,8,1970,133.937,1970-8
75,9,1970,128.61700000000002,1970-9
76,10,1970,189.515,1970-10
77,11,1970,259.589,1970-11
78,12,1970,218.984,1970-12
79,1,1971,198.264,1971-1
80,2,1971,241.201,1971-2
81,3,1971,254.642,1971-3
82,4,1971,299.97900000000004,1971-4
83,5,1971,191.935,1971-5
84,6,1971,163.065,1971-6
85,7,1971,147.747,1971-7
86,8,1971,140.77100000000002,1971-8
87,9,1971,134.681,1971-9
88,10,1971,147.616,1971-10
89,11,1971,234.207,1971-11
90,12,1971,215.84400000000002,1971-12
91,1,1972,225.46200000000002,1972-1
92,2,1972,255.638,1972-2
93,3,1972,245.054,1972-3
94,4,1972,228.34,1972-4
95,5,1972,171.88099999999997,1972-5
96,6,1972,157.575,1972-6
97,7,1972,145.626,1972-7
98,8,1972,138.66299999999998,1972-8
99,9,1972,135.08700000000002,1972-9
100,10,1972,159.014,1972-10
101,11,1972,198.62599999999998,1972-11
102,12,1972,229.604,1972-12
103,1,1973,211.505,1973-1
104,2,1973,233.71200000000002,1973-2
105,3,1973,279.92,1973-3
106,4,1973,273.025,1973-4
107,5,1973,182.607,1973-5
108,6,1973,131.4,1973-6
109,7,1973,158.225,1973-7
110,8,1973,157.208,1973-8
111,9,1973,148.481,1973-9
112,10,1973,195.63299999999998,1973-10
113,11,1973,196.17700000000002,1973-11
114,12,1973,241.28599999999997,1973-12
115,1,1974,254.313,1974-1
116,2,1974,281.097,1974-2
117,3,1974,439.379,1974-3
118,4,1974,345.19699999999995,1974-4
119,5,1974,278.999,1974-5
120,6,1974,179.91,1974-6
121,7,1974,142.11700000000002,1974-7
122,8,1974,126.34700000000001,1974-8
